name|set|set_code|type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|color|generated_mana|number|rarity|ruling|variation|ability|watermark|name_FR
Vexing Shusher|Magic: The Gathering Launch Parties|GLP|Creature — Goblin Shaman|2|2||{RG}{RG}|2|Cyril Van Der Haegen|"#_The stench of bloodcap mushrooms on the breath is enough to ward off even the most potent magics, especially when combined with a special chant: ""Hushhh.""_#"|GR||2|R|£5/1/2008: After <u>Vexing Shusher</u>'s ability resolves, any spells or abilities that would counter the targeted spell will still resolve. They just won't counter that spell.££5/1/2008: <u>Vexing Shusher</u>'s ability won't prevent the targeted spell from being countered by the game rules (for example, if all its targets are illegal).||Vexing Shusher can't be countered.£{R/G}: Target spell can't be countered by spells or abilities.||
Auramancer|WPN/Gateway|GTW|Creature — Human Wizard|2|2||{2}{W}|3|Wayne Reynolds|"#_""In memories, we can find our deepest reserves of strength.""_#"|W||77|R|||When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.||
Bloodcrazed Neonate|WPN/Gateway|GTW|Creature — Vampire|2|1||{1}{R}|2|Dave Kendall|#_While elder vampires select their meals with care, the newly sired frenzy at the first whiff._#|R||83|R|||Bloodcrazed Neonate attacks each turn if able.£Whenever Bloodcrazed Neonate deals combat damage to a player, put a +1/+1 counter on it.||
Boggart Ram-Gang|WPN/Gateway|GTW|Creature — Goblin Warrior|3|3||{RG}{RG}{RG}|3|Lucio Patrillo|#_“We’re going to need a bigger gate.” -Bowen, Barrenton guardcaptain_#|GR||17|R|||Haste£Wither #_(This deals damage to creatures in the form of -1/-1 counters.)_#||
Boneyard Wurm|WPN/Gateway|GTW|Creature — Wurm|*|*||{1}{G}|2|Austin Hsu|#_The only thing it likes more than discovering a pit of bones is adding to it._#|G||84|R|£9/22/2011: The ability that defines <u>Boneyard Wurm</u>'s power and toughness works in  all zones, not just the battlefield. If <u>Boneyard Wurm</u> is in your graveyard, it will count itself.||Boneyard Wurm's power and toughness are each equal to the number of creature cards in your graveyard.||
Boomerang|WPN/Gateway|GTW|Instant||||{U}{U}|2|Rebecca Guay|"#_""Returne from whence ye came..."" -Edmund Spenser, The Faerie Queene_#"|U||4|R|||Return target permanent to its owner's hand.||
Calciderm|WPN/Gateway|GTW|Creature — Beast|5|5||{2}{W}{W}|4|Dave Kendall||W||5|R|£2/1/2007: This is the timeshifted version of Blastoderm.||Shroud #_(This permanent can't be the target of spells or abilities.)_#£Vanishing 4 #_(This permanent enters the battlefield with four time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)_#||
Cenn's Tactician|WPN/Gateway|GTW|Creature — Kithkin Soldier|1|1||{W}|1|Steven Belledin|"#_""A well-trained force brings peace... which brings more time for training!""_#"|W||14|R|£4/1/2008: The second ability is cumulative. That is, each creature you control with any +1/+1 counters on it can block an additional creature for each <u>Cenn's Tactician</u> you control. <u>Cenn's Tactician</u> doesn't care whether the creature has any +1/+1 counters on it beyond the first.||{W}, {T}: Put a +1/+1 counter on target Soldier creature.£Each creature you control with a +1/+1 counter on it can block an additional creature.||
Circle of Flame|WPN/Gateway|GTW|Enchantment||||{1}{R}|2|James Paick|"#_""Which do you think is a better deterrent: a moat of water or one of fire?""—Chandra Nalaar_#"|R||78|R|||Whenever a creature without flying attacks you or a planeswalker you control, Circle of Flame deals 1 damage to that creature.||
Curse of the Bloody Tome|WPN/Gateway|GTW|Enchantment — Aura Curse||||{2}{U}|3|John Stanko|#_After seeing his life's work drip away, the mage decided it was a good time to go crazy._#|U||80|R|£9/22/2011: If the enchanted player has only one card in his or her library, he or she puts that card into his or her graveyard.||Enchant player£At the beginning of enchanted player's upkeep, that player puts the top two cards of his or her library into his or her graveyard.||
Curse of Thirst|WPN/Gateway|GTW|Enchantment — Aura Curse||||{4}{B}|5|Dave Rendall|"#_""May you drink until you drown but never be sated.""£—Odila, witch of Morkrut_#"|B||81|R|£1/22/2011: The number of Curses attached to the player is counted when the ability resolves.||Enchant player£At the beginning of enchanted player's upkeep, Curse of Thirst deals damage to that player equal to the number of Curses attached to him or her.||
Curse of Wizardry|WPN/Gateway|GTW|Enchantment||||{2}{B}{B}|4|Karl Kopinski|"#_""We must all push through the pain to heal our world.""—Ayli, Kamsa cleric_#"|B||47|R|£6/15/2010: <u>Curse of Wizardry</u> affects all players, including you.££6/15/2010: If a player casts a spell of the chosen color, <u>Curse of Wizardry</u>'s second ability triggers and goes on the stack on top of it. The ability will resolve before the spell does.||As Curse of Wizardry enters the battlefield, choose a color.£Whenever a player casts a spell of the chosen color, that player loses 1 life.||
Dauntless Dourbark|WPN/Gateway|GTW|Creature — Treefolk Warrior|*|*||{3}{G}|4|Jeremy Jarvis||G||12|R|£10/1/2007: <u>Dauntless Dourbark</u> counts itself when determining its power and toughness.££10/1/2007: A permanent that's both a Forest and a Treefolk will be counted twice when determining <u>Dauntless Dourbark</u>'s power and toughness.||Dauntless Dourbark's power and toughness are each equal to the number of Forests you control plus the number of Treefolk you control.£Dauntless Dourbark has trample as long as you control another Treefolk.||
Deathless Angel|WPN/Gateway|GTW|Creature — Angel|5|7||{4}{W}{W}|6|Johann Bodin||W||49|R|"£7/1/2013: Lethal damage and effects that say ""destroy"" won't cause a creature with indestructible to be put into the graveyard. However, a creature with indestructible can be put into the graveyard for a number of reasons. The most likely reasons are if it's sacrificed, if it's legendary and another legendary creature with the same name is controlled by the same player, or if its toughness is 0 or less."||Flying£{W}{W}: Target creature gains indestructible until end of turn.||
Duergar Hedge-Mage|WPN/Gateway|GTW|Creature — Dwarf Shaman|2|2||{2}{RW}|3|Thomas M. Baxa||WR||19|R|"£8/1/2008: Each of the triggered abilities has an ""intervening 'if' clause."" That means (1) the ability won't trigger at all unless you control two or more lands of the appropriate land type when the Hedge-Mage enters the battlefield, and (2) the ability will do nothing if you don't control two or more lands of the appropriate land type by the time it resolves.££8/1/2008: Both abilities trigger at the same time. You can put them on the stack in any order.££8/1/2008: Each of the triggered abilities look at your lands individually. This means that if you only control two dual-lands of the appropriate types, both of the abilities will trigger££8/1/2008: Both abilities are optional; you choose whether to use them when they resolve. If an ability has a target, you must choose a target even if you don't plan to use the ability."||When Duergar Hedge-Mage enters the battlefield, if you control two or more Mountains, you may destroy target artifact.£When Duergar Hedge-Mage enters the battlefield, if you control two or more Plains, you may destroy target enchantment.||Mage des haies duergar
Emeria Angel|WPN/Gateway|GTW|Creature — Angel|3|3||{2}{W}{W}|4|Steve Argyle||W||35|R|£10/1/2009: The landfall ability triggers whenever a land enters the battlefield under your control for any reason. It triggers whenever you play a land, as well as whenever a spell or ability (such as Rampant Growth) causes you to put a land onto the battlefield under your control. It will even trigger when a spell or ability causes another player to put a land onto the battlefield under your control (as can happen with Yavimaya Dryad's ability, for example).££10/1/2009: When a land enters the battlefield under your control, each landfall ability of the permanents you control will trigger. You can put them on the stack in any order. The last ability you put on the stack will be the first one that resolves.||Flying£Landfall — Whenever a land enters the battlefield under your control, you may put a 1/1 white Bird creature token with flying onto the battlefield.||
Fiery Temper|WPN/Gateway|GTW|Instant||||{1}{R}{R}|3|Ben Wootten||R||3|R|||Fiery Temper deals 3 damage to target creature or player.£Madness {R} #_(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)_#||
Fling|WPN/Gateway|GTW|Instant||||{1}{R}|2|Daren Bader|#_Sometimes the cannoneer must become the cannonball._#|R||50|R|£8/15/2010: The sacrificed creature's last known existence on the battlefield is checked to determine its power.££8/15/2010: If you sacrifice an attacking or blocking creature during the declare blockers step, it won't deal combat damage. If you wait until the combat damage step, but that creature is dealt lethal damage, it'll be destroyed before you get a chance to sacrifice it.££4/15/2013: You must sacrifice exactly one creature to cast this spell; you cannot cast it without sacrificing a creature, and you cannot sacrifice additional creatures.££4/15/2013: Players can only respond once this spell has been cast and all its costs have been paid. No one can try to destroy the creature you sacrificed to prevent you from casting this spell.||As an additional cost to cast Fling, sacrifice a creature.£Fling deals damage equal to the sacrificed creature's power to target creature or player.||
Gather the Townsfolk|WPN/Gateway|GTW|Sorcery||||{1}{W}|2|Bud Cook|#_In the memories of those they lost lies the strength needed to defend their city._#|W||79|R|||Put two 1/1 white Human creature tokens onto the battlefield.£Fateful hour — If you have 5 or less life, put five of those tokens onto the battlefield instead.||
Golem's Heart|WPN/Gateway|GTW|Artifact||||{2}|2|Alan Pollack|#_The heart of a golem gives life to more than just the iron husk around it._#|A||60|R|£1/1/2011: Unlike Golem Foundry and the Smith cycle, <u>Golem's Heart</u>'s ability triggers whenever any player casts an artifact spell, not just when you do.££1/1/2011: Whenever a player casts an artifact spell, <u>Golem's Heart</u>'s ability triggers and goes on the stack on top of it. It will resolve before the artifact spell does.||Whenever a player casts an artifact spell, you may gain 1 life.||
Gravedigger|WPN/Gateway|GTW|Creature — Zombie|2|2||{3}{B}|4|Tony Szczudlo|#_A full coffin is like a full coffer-both are attractive to thieves._#|B||16|R|"£10/1/2009: A ""creature card"" is any card with the type Creature, even if it has other types such as Artifact, Enchantment, or Land. Older cards of type Summon are also Creature cards."||When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.||
Hada Freeblade|WPN/Gateway|GTW|Creature — Human Soldier Ally|0|1||{W}|1|Cyril Van Der Haegen||W||38|R|||Whenever Hada Freeblade or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Hada Freeblade.||
Hellspark Elemental|WPN/Gateway|GTW|Creature — Elemental|3|1||{1}{R}|2|Nils Hamm||R||25|R|||Trample, haste£At the beginning of the end step, sacrifice Hellspark Elemental.£Unearth {1}{R} #_({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)_#||
Icatian Javelineers|WPN/Gateway|GTW|Creature — Human Soldier|1|1||{W}|1|Michael Phillippi||W||2|R|||Icatian Javelineers enters the battlefield with a javelin counter on it.£{T}, Remove a javelin counter from Icatian Javelineers: Icatian Javelineers deals 1 damage to target creature or player.||
Kalastria Highborn|WPN/Gateway|GTW|Creature — Vampire Shaman|2|2||{B}{B}|2|D. Alexander Gregory||B||39|R|£3/1/2010: If multiple Vampires you control (possibly including <u>Kalastria Highborn</u> itself) are put into their owners' graveyards at the same time, <u>Kalastria Highborn</u>'s ability triggers that many times.££3/1/2010: You target a player when the ability triggers. You choose whether to pay {B} as the ability resolves. You may pay {B} only once per resolution.££3/1/2010: If the targeted player is an illegal target by the time the ability resolves (for example, if that player has left a multiplayer game), the entire ability is countered. You can't pay {B} and you don't gain life.||Whenever Kalastria Highborn or another Vampire you control dies, you may pay {B}. If you do, target player loses 2 life and you gain 2 life.||
Kor Duelist|WPN/Gateway|GTW|Creature — Kor Soldier|1|1||{W}|1|Kekai Kotaki|"#_""Swords cannot reach far enough. Chains cannot strike hard enough. An eternal dilemma, but a simple one.""_#"|W||32|R|||As long as Kor Duelist is equipped, it has double strike. #_(It deals both first-strike and regular combat damage.)_#||
Kor Firewalker|WPN/Gateway|GTW|Creature — Kor Soldier|2|2||{W}{W}|2|Alex Horley-Orlandelli|"#_""A river of lava is just another river to cross.""_#"|W||36|R|||Protection from red£Whenever a player casts a red spell, you may gain 1 life.||
Lava Axe|WPN/Gateway|GTW|Sorcery||||{4}{R}|5|Ray Lago|#_“Catch!”_#|R||13|R|||Lava Axe deals 5 damage to target player.||
Leatherback Baloth|WPN/Gateway|GTW|Creature — Beast|4|5||{G}{G}{G}|3|Chris Rahn|#_Heavy enough to withstand the Roil, leatherback skeletons are havens for travelers in storms and landshifts._#|G||37|R|||||
Llanowar Elves|WPN/Gateway|GTW|Creature — Elf Druid|1|1||{G}|1|Anson Maddocks|#_Whenever the Llanowar elves gather the fruits of their forest, they leave one plant of each type untouched, considering that nature's portion._#|G|{G}|9|R|||{T}: Add {G} to your mana pool.||
Marisi's Twinclaws|WPN/Gateway|GTW|Creature — Cat Warrior|2|4||{2}{RW}{G}|4|Dominick Domingo|#_“Looks like we're completely outnumbered.“£“Lucky for us. I thought we'd be bored.“_#|GWR||26|R|||Double strike||
Master's Call|WPN/Gateway|GTW|Instant||||{2}{W}|3|Erica Yang|#_The need to obey was inscribed on every plate in their bodies._#|W||64|R|||Put two 1/1 colorless Myr artifact creature tokens onto the battlefield.||
Maul Splicer|WPN/Gateway|GTW|Creature — Human Artificer|1|1||{6}{G}|7|Erica Yang||G||72|R|||When Maul Splicer enters the battlefield, put two 3/3 colorless Golem artifact creature tokens onto the battlefield.£Golem creatures you control have trample.||
Mind Control|WPN/Gateway|GTW|Enchantment — Aura||||{3}{U}{U}|5|Keith Garletts|"#_""Why fight the body when you can dominate the mind that rules it?""£-Jace Beleren_#"|U||30|R|£8/15/2010: Gaining control of a creature doesn't cause you gain control of any Auras or Equipment attached to it.||Enchant creature£You control enchanted creature.||
Mind Stone|WPN/Gateway|GTW|Artifact||||{2}|2|Martina Pilcerova|"#_""Except our own thoughts, there is nothing absolutely in our power."" -Rene Descartes, Discourse on Method_#"|A|{X}|11|R|||{T}: Add {1} to your mana pool.£{1}, {T}, Sacrifice Mind Stone: Draw a card.||
Mogg Fanatic|WPN/Gateway|GTW|Creature — Goblin|1|1||{R}|1|Nils Hamm|"#_""As if his chest had been a mortar, he burst his hot heart's shell upon it."" -Herman Melville, Moby Dick_#"|R||10|R|||Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.||
Mycoid Shepherd|WPN/Gateway|GTW|Creature — Fungus|5|4||{1}{W}{G}{G}|4|Jarreau Wimberley||GW||28|R|£5/1/2009: <u>Mycoid Shepherd</u>'s ability will trigger when it's put into a graveyard from the battlefield no matter what its power is at that time.££5/1/2009: If another creature you control is put into a graveyard from the battlefield, <u>Mycoid Shepherd</u>'s ability checks that creature's power as it last existed on the battlefield. If it was 5 or greater, the ability will trigger.££5/1/2009: If <u>Mycoid Shepherd</u> and another creature you control with power 5 or greater are put into a graveyard from the battlefield at the same time, <u>Mycoid Shepherd</u>'s ability will trigger twice.||Whenever Mycoid Shepherd or another creature you control with power 5 or greater dies, you may gain 5 life.||
Naya Sojourners|WPN/Gateway|GTW|Creature — Elf Shaman|5|3||{2}{W}{R}{G}|5|Michael Bruinsma|#_The elves had entered a land like an open grave-an act of fortitude or folly?_#|GWR||29|R|£10/1/2008: Cycling is an activated ability. Effects that interact with activated abilities (such as Stifle or Rings of Brighthearth) will interact with cycling. Effects that interact with spells (such as Remove Soul or Faerie Tauntings) will not.££5/1/2009: The triggered ability acts as a cycle-triggered ability or as a leaves-the-battlefield ability, as appropriate. The player who controls the triggered ability is the player who cycled the Sojourner, or the player who last controlled the Sojourner on the battlefield.££5/1/2009: If you cycle this card, the cycling ability goes on the stack, then the triggered ability goes on the stack on top of it. The triggered ability will resolve before you draw a card from the cycling ability.££5/1/2009: The cycling ability and the triggered ability are separate. If the triggered ability is countered (with Stifle, for example, or if all its targets have become illegal), the cycling ability will still resolve and you'll draw a card.££5/1/2009: You can cycle this card even if there are no targets for the triggered ability. That's because the cycling ability itself has no targets.||When you cycle Naya Sojourners or it dies, you may put a +1/+1 counter on target creature.£Cycling {2}{G} #_({2}{G}, Discard this card: Draw a card.)_#||
Nearheath Stalker|WPN/Gateway|GTW|Creature — Vampire Rogue|4|1||{4}{R}|5|Steve Prescott|"#_""Do not speak of this to the elders. They look unfavorably upon my indulgences.""_#"|R||82|R|||Undying #_(When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)_#||
Nissa's Chosen|WPN/Gateway|GTW|Creature — Elf Warrior|2|3||{G}{G}|2|Sam Wood||G||34|R|||If Nissa's Chosen would die, put it on the bottom of its owner's library instead.||
Oona's Blackguard|WPN/Gateway|GTW|Creature — Faerie Rogue|1|1||{1}{B}|2|Darrell Riche||B||15|R|£4/1/2008: If a Rogue would normally enter the battlefield with a certain number of +1/+1 counters on it, it enters the battlefield with that many +1/+1 counters plus one on it instead. If a Rogue would normally enter the battlefield with no +1/+1 counters on it, it enters the battlefield with one +1/+1 counter on it instead.££4/1/2008: The creature gets the counter if it would enter the battlefield under your control. It doesn't matter who owns the creature or what zone it enters the battlefield from (such as your opponent's graveyard, for example).££4/1/2008: The creature gets the counter if its copiable characteristics as it would exist on the battlefield include the specified creature type. For example, say you control Conspiracy, and the chosen creature type is Rogue. If you put a creature onto the battlefield that isn't normally a Rogue, it won't get a counter from <u>Oona's Blackguard</u>.££4/1/2008: The effects from more than one of these cards are cumulative. That is, if you have two <u>Oona's Blackguard</u> on the battlefield, Rogue creatures you control enter the battlefield with two additional +1/+1 counters on them.££4/1/2008: If <u>Oona's Blackguard</u> enters the battlefield at the same time as another Rogue (due to Living End, for example), that creature doesn't get a +1/+1 counter.||Flying£Each other Rogue creature you control enters the battlefield with an additional +1/+1 counter on it.£Whenever a creature you control with a +1/+1 counter on it deals combat damage to a player, that player discards a card.||
Path to Exile|WPN/Gateway|GTW|Instant||||{W}|1|Rebecca Guay||W||24|R|£2/1/2009: If the targeted creature becomes an illegal target by the time <u>Path to Exile</u> would resolve, the entire spell is countered. The creature's controller won't get to search for a basic land card.||Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.||
Pathrazer of Ulamog|WPN/Gateway|GTW|Creature — Eldrazi|9|9||{11}|11|Goran Josic|#_No thought but hunger. No strategy but destruction._#|C||46|R|£6/15/2010: Annihilator abilities trigger and resolve during the declare attackers step. The defending player chooses and sacrifices the required number of permanents before he or she declares blockers. Any creatures sacrificed this way won't be able to block.££6/15/2010: If a creature with annihilator is attacking a planeswalker, and the defending player chooses to sacrifice that planeswalker, the attacking creature continues to attack. It may be blocked. If it isn't blocked, it simply won't deal combat damage to anything.££6/15/2010: In a Two-Headed Giant game, the controller of an attacking creature with annihilator chooses which of the defending players is affected by the ability. Only that player sacrifices permanents. The choice is made as the ability resolves; once a player is chosen, it's too late for anyone to respond.||Annihilator 3 #_(Whenever this creature attacks, defending player sacrifices three permanents.)_#£Pathrazer of Ulamog can't be blocked except by three or more creatures.||
Plague Myr|WPN/Gateway|GTW|Artifact Creature — Myr|1|1||{2}|2|Ryan Pancoast|#_They watch for a new master, one more sinister than the last._#|A|{X}|65|R|||Infect #_(This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)_#£{T}: Add {1} to your mana pool.||
Plague Stinger|WPN/Gateway|GTW|Creature — Insect Horror|1|1||{1}{B}|2|Tomasz Jedruszek|#_It leaves its victims one sting closer to phyresis._#|B||59|R|£1/1/2011: A player who has ten or more poison counters loses the game. This is a state-based action.££1/1/2011: Infect's effect applies to any damage, not just combat damage.££1/1/2011: The -1/-1 counters remain on the creature indefinitely. They're not removed if the creature regenerates or the turn ends.££1/1/2011: Damage from a source with infect is damage in all respects. If the source with infect also has lifelink, damage dealt by that source also causes its controller to gain that much life. Damage from a source with infect can be prevented or redirected. Abilities that trigger on damage being dealt will trigger if a source with infect deals damage, if appropriate.££1/1/2011: If damage from a source with infect that would be dealt to a player is prevented, that player doesn't get poison counters. If damage from a source with infect that would be dealt to a creature is prevented, that creature doesn't get -1/-1 counters.££1/1/2011: Damage from a source with infect affects planeswalkers normally.||Flying£Infect #_(This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)_#||
Reckless Wurm|WPN/Gateway|GTW|Creature — Wurm|4|4||{3}{R}{R}|5|Greg Staples|#_Bred for battle in the Grand Coliseum, these wurms annihilated whole ecosystems when released into the wild._#|R||6|R|£2/1/2007: This is the timeshifted version of Arrogant Wurm.||Trample£Madness {2}{R} #_(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)_#||
Rise from the Grave|WPN/Gateway|GTW|Sorcery||||{4}{B}|5|Thomas M. Baxa|"#_""Death is no excuse for disobedience.""—Liliana Vess_#"|B||31|R|"£10/1/2009: <u>Rise from the Grave</u> doesn't overwrite any previous colors or types. Rather, it adds another color and another subtype.££10/1/2009: If the targeted creature is normally colorless, it will simply become black. It won't be both black and colorless.££10/1/2009: A later effect that changes the affected creature's colors will overwrite that part of <u>Rise from the Grave</u> effect; the creature will be just the new color. The same is true about an effect that changes the affected creature's types or subtypes.££10/1/2009: A ""creature card"" is any card with the type Creature, even if it has other types such as Artifact, Enchantment, or Land. Older cards of type Summon are also Creature cards."||Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.||
Selkie Hedge-Mage|WPN/Gateway|GTW|Creature — Merfolk Wizard|2|2||{2}{GU}|3|Brandon Kitkouski||GU||20|R|"£8/1/2008: Each of the triggered abilities has an ""intervening 'if' clause."" That means (1) the ability won't trigger at all unless you control two or more lands of the appropriate land type when the Hedge-Mage enters the battlefield, and (2) the ability will do nothing if you don't control two or more lands of the appropriate land type by the time it resolves.££8/1/2008: Both abilities trigger at the same time. You can put them on the stack in any order.££8/1/2008: Each of the triggered abilities look at your lands individually. This means that if you only control two dual-lands of the appropriate types, both of the abilities will trigger££8/1/2008: Both abilities are optional; you choose whether to use them when they resolve. If an ability has a target, you must choose a target even if you don't plan to use the ability."||When Selkie Hedge-Mage enters the battlefield, if you control two or more Forests, you may gain 3 life.£When Selkie Hedge-Mage enters the battlefield, if you control two or more Islands, you may return target tapped creature to its owner's hand.||Mage des haies selkie
Shrine of Burning Rage|WPN/Gateway|GTW|Artifact||||{2}|2|Nils Hamm||A||73|R|||At the beginning of your upkeep or whenever you cast a red spell, put a charge counter on Shrine of Burning Rage.£{3}, {T}, Sacrifice Shrine of Burning Rage: Shrine of Burning Rage deals damage equal to the number of charge counters on it to target creature or player.||
Signal Pest|WPN/Gateway|GTW|Artifact Creature — Pest|0|1||{1}|1|Chippy|#_It leaps from tree to tree, revealing the enemy's positions._#|A||66|R|||Battle cry #_(Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)_#£Signal Pest can't be blocked except by creatures with flying or reach.||
Skinrender|WPN/Gateway|GTW|Creature — Zombie|3|3||{2}{B}{B}|4|Adrian Smith|"#_""Your creations are effective, Sheoldred, but we must unite the flesh, not merely flay it.""—Elesh Norn, Grand Cenobite_#"|B||63|R|£1/1/2011: This ability is mandatory. If there are no other creatures on the battlefield, you must target <u>Skinrender</u> itself.||When Skinrender enters the battlefield, put three -1/-1 counters on target creature.||
Slave of Bolas|WPN/Gateway|GTW|Sorcery||||{3}{UR}{B}|5|Karl Kopinski|#_Nicol Bolas doesn't distinguish between servants and victims._#|URB||27|R|"£5/1/2009: You may target a creature you already control.££5/1/2009: If you don't control the targeted creature when the ""at end of turn"" ability resolves, it won't be sacrificed. If it's still on the battlefield but under another player's control, the ability won't try to have you sacrifice it again at the end of the turn after that."||Gain control of target creature. Untap that creature. It gains haste until end of turn. Sacrifice it at the beginning of the next end step.||
Sprouting Thrinax|WPN/Gateway|GTW|Creature — Lizard|3|3||{B}{R}{G}|3|Jaime Jones|#_The vast network of predation on Jund has actually caused some strange creatures to adapt to being eaten._#|GRB||21|R|||When Sprouting Thrinax dies, put three 1/1 green Saproling creature tokens onto the battlefield.||Thrinax bourgeonnant
Staggershock|WPN/Gateway|GTW|Instant||||{2}{R}|3|Raymond Swanland||R||48|R|£6/15/2010: If a spell with rebound that you cast from your hand is countered for any reason (due to a spell like Cancel, or because all of its targets are illegal), the spell doesn't resolve and rebound has no effect. The spell is simply put into your graveyard. You won't get to cast it again next turn.££6/15/2010: If you cast a spell with rebound from anywhere other than your hand (such as from your graveyard due to Sins of the Past, from your library due to cascade, or from your opponent's hand due to Sen Triplets), rebound won't have any effect. If you do cast it from your hand, rebound will work regardless of whether you paid its mana cost (for example, if you cast it from your hand due to Maelstrom Archangel).££6/15/2010: If a replacement effect would cause a spell with rebound that you cast from your hand to be put somewhere else instead of your graveyard (such as Leyline of the Void might), you choose whether to apply the rebound effect or the other effect as the spell resolves.££6/15/2010: Rebound will have no effect on copies of spells because you don't cast them from your hand.££6/15/2010: If you cast a spell with rebound from your hand and it resolves, it isn't put into your graveyard. Rather, it's exiled directly from the stack. Effects that care about cards being put into your graveyard won't do anything.££6/15/2010: At the beginning of your upkeep, all delayed triggered abilities created by rebound effects trigger. You may handle them in any order. If you want to cast a card this way, you do so as part of the resolution of its delayed triggered ability. Timing restrictions based on the card's type (if it's a sorcery) are ignored. Other restrictions are not (such as the one from Rule of Law).££6/15/2010: If you are unable to cast a card from exile this way, or you choose not to, nothing happens when the delayed triggered ability resolves. The card remains exiled for the rest of the game, and you won't get another chance to cast the card. The same is true if the ability is countered (due to Stifle, perhaps).££6/15/2010: If you cast a card from exile this way, it will go to your graveyard when it resolves or is countered. It won't go back to exile.||Staggershock deals 2 damage to target creature or player.£Rebound #_(If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)_#||
Sylvan Ranger|WPN/Gateway|GTW|Creature — Elf Scout|1|1||{1}{G}|2|Ciruelo|"#_""Not all paths are found on the forest floor.""_#"|G||51|R|||When Sylvan Ranger enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.||
Syphon Mind|WPN/Gateway|GTW|Sorcery||||{3}{B}|4|Jeff Easley|#_When tempers run high, it's easy to lose your head._#|B||40|R|||Each other player discards a card. You draw a card for each card discarded this way.||
Tormented Soul|WPN/Gateway|GTW|Creature — Spirit|1|1||{B}|1|John Stanko|#_Those who raged most bitterly at the world in life are cursed to roam the nether realms in death._#|B||76|R|||Tormented Soul can't block and can't be blocked.||
Vampire Nighthawk|WPN/Gateway|GTW|Creature — Vampire Shaman|2|3||{1}{B}{B}|3|Karl Kopinski||B||33|R|||Flying£Deathtouch #_(Any amount of damage this deals to a creature is enough to destroy it.)_#£Lifelink #_(Damage dealt by this creature also causes you to gain that much life.)_#||
Vault Skirge|WPN/Gateway|GTW|Artifact Creature — Imp|1|1||{1}{PB}|2|Lars Grant-West|#_From the remnants of the dead, Geth forged a swarm to safeguard his throne._#|AB||71|R|£6/1/2011: A card with Phyrexian mana symbols in its mana cost is each color that appears in that mana cost, regardless of how that cost may have been paid.££6/1/2011: To calculate the converted mana cost of a card with Phyrexian mana symbols in its cost, count each Phyrexian mana symbol as 1.££6/1/2011: As you cast a spell or activate an activated ability with one or more Phyrexian mana symbols in its cost, you choose how to pay for each Phyrexian mana symbol at the same time you would choose modes or choose a value for X.££6/1/2011: If you're at 1 life or less, you can't pay 2 life.££6/1/2011: Phyrexian mana is not a new color. Players can't add Phyrexian mana to their mana pools.||#_({PB} can be paid with either {B} or 2 life.)_#£Flying£Lifelink #_(Damage dealt by this creature also causes you to gain that much life.)_#||
Wilt-Leaf Cavaliers|WPN/Gateway|GTW|Creature — Elf Knight|3|4||{GW}{GW}{GW}|3|Steven Belledin|#_Every elf in Shadowmoor is charged from birth with a terrible duty: to strike back against the ugliness and darkness, even though they are all around and seemingly without end._#|GW||18|R|||Vigilance||
Wood Elves|WPN/Gateway|GTW|Creature — Elf Scout|1|1||{2}{G}|3|Rebecca Guay|#_Every branch a crossroads, every vine a swift steed._#|G||1|R|"£10/4/2004: Because the ""search"" requires you to find a card with certain characteristics, you don't have to find the card if you don't want to."||When Wood Elves enters the battlefield, search your library for a Forest card and put that card onto the battlefield. Then shuffle your library.||
Woolly Thoctar|WPN/Gateway|GTW|Creature — Beast|5|4||{W}{R}{G}|3|Steve Argyle|#_One of the most ferocious and deadly gargantuans, the thoctar never sees its worshippers, but it often awakens surrounded by gifts and sacrifices._#|GWR||22|R|||||Thoctar laineux
